substrate_type,initial_conc_g_cod_l,anode_material,anode_surface_area_m2,anolyte_volume_ml,cathode_material,cathode_surface_area_m2,catholyte_volume_ml,pH,temperature_c,anode_S_V_ratio_m2_m3,cathode_S_V_ratio_m2_m3,max_power_density_w_m2,anode_description,cathode_description,substrate_description
septictank wastewater,2.7517,graphite plate,0.012,550,graphite plate,0.012,550,7.98,31.4,21.81818182,21.81818182,0.20404,planar rigid plate geometry; dense nonporous graphite matrix; smooth limited-area surface; limited biofilm attachment area | low surface roughness; low specific surface area; hydrophobic basal planes; few oxygen functional groups | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; direct electron transfer compatibility | high electrical conductivity; low internal resistance; broad electrochemical stability window; moderate charge transfer kinetics,flat planar geometry; dense nonporous structure; low specific surface area; rigid self-supporting substrate | low specific surface area; smooth planar morphology; hydrophobic graphitic surface; limited oxygen functional groups | biocompatible carbon surface; stable biofilm adhesion; direct electron transfer compatibility; low cytotoxicity | high electrical conductivity; low ohmic resistance; stable electrochemical behavior; moderate electron transfer kinetics,mixed soluble particulate organics; moderate-to-high COD; low toxicity; biodegradable fermentable organics
waste vegetable oil,1.84,carbon veil,0.0009,20,activated carbon,0.0009,20,8.5,,45,45,0.147,nonwoven carbon fiber network; high open porosity; large accessible surface area; thin flexible mat | microscale fibrous roughness; open macroporous network; abundant biofilm attachment sites; chemically stable carbon surface | strong bacterial adhesion; robust biofilm formation; biocompatible carbon surface; porous microbial colonization network | high electrical conductivity; low charge-transfer resistance; large electroactive surface area; rapid electron transfer kinetics,high specific surface area; hierarchical porous network; rough biofilm-supporting surface; micro-mesoporous structure | high specific surface area; hierarchical micro-mesoporosity; oxygenated surface functional groups; biofilm-supportive surface roughness | high biocompatibility; large biofilm attachment area; porous microbial colonization sites; oxygenated surface functional groups | moderate electrical conductivity; low charge transfer resistance; high double-layer capacitance; broad electrochemical stability window,hydrophobic poor solubility; very high COD; low inherent toxicity; hydrolysis-limited fermentability
sodium acetate,0.47,carbon brush,0.0007,20,activated carbon,0.0007,28,,30,35,25,0.41,three-dimensional fibrous architecture; high specific surface area; open macroporous network; radial carbon fiber bristles | high specific surface area; porous fibrous surface; microscale surface roughness; tunable oxygen functionalization | strong microbial adhesion; dense electroactive biofilm; biocompatible carbon fibers; enhanced extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; efficient extracellular electron transfer; high current density,high specific surface area; hierarchical porous network; rough biofilm-supporting surface; micro-mesoporous structure | high specific surface area; hierarchical micro-mesoporosity; oxygenated surface functional groups; biofilm-supportive surface roughness | high biocompatibility; large biofilm attachment area; porous microbial colonization sites; oxygenated surface functional groups | moderate electrical conductivity; low charge transfer resistance; high double-layer capacitance; broad electrochemical stability window,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
phenol with acetate,1.69,carbon cloth,0.00029,30,stainless steel mesh,0.00029,30,6.9,23.5,9.666666667,9.666666667,0.2672,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,woven wire architecture; open macroporous network; high void fraction; large accessible surface area | open macroporous mesh topology; high geometric surface area; chromium oxide passive film; moderate biofilm adhesion | moderate microbial adhesion; stable electroactive biofilm support; corrosion-resistant passive oxide; low biotoxic ion release | high electrical conductivity; moderate charge-transfer resistance; stable passive oxide; wide electrochemical stability,moderate aqueous solubility; high COD content; phenolic toxicity; acetate-enhanced biodegradability
phenol with glucose,1.69,carbon cloth,0.00029,30,stainless steel mesh,0.00029,30,6.9,23.5,9.666666667,9.666666667,0.2345,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,woven wire architecture; open macroporous network; high void fraction; large accessible surface area | open macroporous mesh topology; high geometric surface area; chromium oxide passive film; moderate biofilm adhesion | moderate microbial adhesion; stable electroactive biofilm support; corrosion-resistant passive oxide; low biotoxic ion release | high electrical conductivity; moderate charge-transfer resistance; stable passive oxide; wide electrochemical stability,moderate aqueous solubility; high COD load; phenolic toxicity; glucose-enhanced biodegradability
phenol with sucrose,1.69,carbon cloth,0.00029,30,stainless steel mesh,0.00029,30,6.9,23.5,9.666666667,9.666666667,0.1896,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,woven wire architecture; open macroporous network; high void fraction; large accessible surface area | open macroporous mesh topology; high geometric surface area; chromium oxide passive film; moderate biofilm adhesion | moderate microbial adhesion; stable electroactive biofilm support; corrosion-resistant passive oxide; low biotoxic ion release | high electrical conductivity; moderate charge-transfer resistance; stable passive oxide; wide electrochemical stability,high aqueous solubility; high COD; phenolic toxicity; biodegradable fermentable sucrose fraction
phenol with ethanol,1.69,carbon cloth,0.00029,30,stainless steel mesh,0.00029,30,6.9,23.5,9.666666667,9.666666667,0.1081,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,woven wire architecture; open macroporous network; high void fraction; large accessible surface area | open macroporous mesh topology; high geometric surface area; chromium oxide passive film; moderate biofilm adhesion | moderate microbial adhesion; stable electroactive biofilm support; corrosion-resistant passive oxide; low biotoxic ion release | high electrical conductivity; moderate charge-transfer resistance; stable passive oxide; wide electrochemical stability,high aqueous solubility; high COD loading; phenolic toxicity; ethanol-enhanced biodegradability
palm oil mill effluent,,polyacryl nitrile carbon felt,0.0009,35,polyacryl nitrile carbon felt,0.0009,35,,,25.71428571,25.71428571,0.226,three-dimensional fibrous network; high open porosity; interconnected macroporous channels; large accessible surface area | high specific surface area; porous fibrous texture; rough biofilm-supporting surface; oxygenated surface functional groups | biocompatible carbon surface; three-dimensional biofilm scaffold; high microbial adhesion; extracellular electron transfer compatibility | high electrical conductivity; low ohmic resistance; favorable charge transfer kinetics; wide electrochemical stability window,three-dimensional fibrous network; high open porosity; interconnected macroporous channels; large biofilm-accessible surface area | large electroactive surface area; rough carbon fiber surface; interconnected fibrous porosity; low oxygen functionalization | biocompatible fibrous scaffold; strong microbial adhesion; robust biofilm colonization; extracellular electron transfer sites | high electrical conductivity; low charge-transfer resistance; high electroactive surface area; favorable electron transfer kinetics,high COD; high biodegradability; fermentable organics; moderate oil-grease toxicity
petrochemical wastewater,45,polyacrylonitrile coated carbon felt,0.0004,35,polyacrylonitrile coated carbon felt,0.0004,40,7,,11.42857143,10,0.85,three-dimensional fibrous network; interconnected macroporous structure; rough PAN coating; high specific surface area | enhanced surface hydrophilicity; nitrile-rich polar functionality; increased surface roughness; improved biofilm adhesion | enhanced bacterial adhesion; dense electroactive biofilm; improved microbial biocompatibility; facilitated extracellular electron transfer | high electrical conductivity; low charge transfer resistance; enhanced electron transfer kinetics; stable anodic current response,three-dimensional fibrous network; interconnected macroporous architecture; uniform polyacrylonitrile coating; high specific surface area | polar nitrile surface groups; enhanced surface hydrophilicity; increased surface roughness; improved biofilm adhesion | enhanced microbial adhesion; dense electroactive biofilm formation; nitrile-mediated cell affinity; improved extracellular electron transfer | high electrical conductivity; low charge transfer resistance; enhanced extracellular electron transfer; stable electrochemical response,high COD; partially soluble hydrocarbons; high toxicity; low biodegradability
petrochemical wastewater,5,polyacrylonitrile coated carbon felt,0.0004,35,polyacrylonitrile coated carbon felt,0.0004,40,7,,11.42857143,10,0.15,three-dimensional fibrous network; interconnected macroporous structure; rough PAN coating; high specific surface area | enhanced surface hydrophilicity; nitrile-rich polar functionality; increased surface roughness; improved biofilm adhesion | enhanced bacterial adhesion; dense electroactive biofilm; improved microbial biocompatibility; facilitated extracellular electron transfer | high electrical conductivity; low charge transfer resistance; enhanced electron transfer kinetics; stable anodic current response,three-dimensional fibrous network; interconnected macroporous architecture; uniform polyacrylonitrile coating; high specific surface area | polar nitrile surface groups; enhanced surface hydrophilicity; increased surface roughness; improved biofilm adhesion | enhanced microbial adhesion; dense electroactive biofilm formation; nitrile-mediated cell affinity; improved extracellular electron transfer | high electrical conductivity; low charge transfer resistance; enhanced extracellular electron transfer; stable electrochemical response,high COD; partially soluble hydrocarbons; high toxicity; low biodegradability
bilge water,3.35,carbon fiber brush,0.00177,40,a mixture of activated carbon and carbon black on pvdf,0.00071,40,7.4,23,44.25,17.75,0.2253,three-dimensional brush architecture; high specific surface area; open macroporous network; dense radial fiber array | high specific surface area; rough carbon fiber surface; open macroporous architecture; biofilm-supportive surface chemistry | high bacterial attachment; dense electroactive biofilm formation; three-dimensional microbial colonization; enhanced extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; favorable electron transfer kinetics; stable anodic polarization,high surface area carbon matrix; hierarchical porous network; rough biofilm-supporting texture; PVDF-bound composite coating | high specific surface area; micro-mesoporous carbon network; rough biofilm-supporting surface; hydrophobic PVDF domains | large biofilm attachment area; biocompatible carbon interface; porous microbial colonization sites; enhanced extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; high double-layer capacitance; fast electron-transfer kinetics,low aqueous solubility; high variable COD; hydrocarbon toxicity; limited biodegradability
sucrose with sodium acetate,9.792,fe-t-mof/pani based electrode,7.85E-05,40,fe-t-mof/pani based electrode,7.85E-05,40,,,1.9625,1.9625,0.68,hierarchical porous MOF framework; conformal PANI coating; high specific surface area; rough biofilm-supporting morphology | high specific surface area; hierarchical porous morphology; rough hydrophilic surface; abundant Fe redox sites | enhanced bacterial adhesion; robust electroactive biofilm; biocompatible conductive interface; accelerated extracellular electron transfer | enhanced electrical conductivity; low charge-transfer resistance; high redox activity; efficient extracellular electron transfer,hierarchical porous architecture; high specific surface area; rough PANI-coated framework; interconnected nanostructured network | high specific surface area; hierarchical porous morphology; hydrophilic PANI coating; abundant Fe active sites | enhanced bacterial adhesion; electroactive biofilm enrichment; biocompatible conductive interface; accelerated extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; enhanced pseudocapacitance; fast extracellular electron transfer,high aqueous solubility; high readily available COD; low microbial toxicity; readily biodegradable fermentable carbon
sodium acetate,0.78,carbon fiber brush,0.000625,28,stainless steel mesh with activated carbon catalyst,0.0007,28,,30,22.32142857,25,0.994,three-dimensional brush architecture; high specific surface area; open macroporous network; dense radial fiber array | high specific surface area; rough carbon fiber surface; open macroporous architecture; biofilm-supportive surface chemistry | high bacterial attachment; dense electroactive biofilm formation; three-dimensional microbial colonization; enhanced extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; favorable electron transfer kinetics; stable anodic polarization,woven stainless steel scaffold; macroporous mesh architecture; activated carbon porous coating; high accessible surface area | high electroactive surface area; porous activated carbon coating; rough biofilm-supporting topography; corrosion-resistant passivated surface | high microbial adhesion; stable electroactive biofilm; biocompatible carbon interface; extracellular electron transfer facilitation | high electrical conductivity; low charge transfer resistance; enhanced oxygen reduction kinetics; high electroactive surface area,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
activated sludge,1.612,graphite,0.0004,50,"non-platinized, gas diffusion electrodes",0.0004,50,7.61,25,8,8,0.0915,layered crystalline carbon; low intrinsic porosity; limited specific surface area; rigid planar morphology | biocompatible carbon surface; low specific surface area; moderate surface roughness; limited oxygen functional groups | good biocompatibility; electroactive biofilm support; moderate bacterial adhesion; low surface toxicity | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,porous carbon diffusion layer; hydrophobic PTFE-bonded backing; high gas permeability; extended triple-phase interface | hydrophobic gas-diffusion surface; porous carbon catalyst layer; large electroactive surface area; abundant triple-phase boundaries | biocompatible carbon surface; biofilm-supporting porous interface; low platinum-associated toxicity; biofouling-sensitive oxygen pathways | high electrical conductivity; elevated charge-transfer resistance; moderate oxygen reduction activity; high cathodic overpotential,particulate low solubility; high COD load; low inherent toxicity; hydrolysis-limited fermentability
activated sludge,1.612,rgo-coated graphite,0.0004,50,"non-platinized, gas diffusion electrodes",0.0004,50,7.61,25,8,8,0.148,wrinkled rGO nanosheet coating; increased electroactive surface area; hierarchical nanoscale surface roughness; porous biofilm-supporting interface | high electroactive surface area; wrinkled nanosheet morphology; oxygen-containing functional groups; enhanced biofilm adhesion | strong microbial adhesion; dense electroactive biofilms; facilitated extracellular electron transfer; biocompatible rGO interface | high electrical conductivity; low charge-transfer resistance; fast extracellular electron transfer; large electroactive surface area,porous carbon diffusion layer; hydrophobic PTFE-bonded backing; high gas permeability; extended triple-phase interface | hydrophobic gas-diffusion surface; porous carbon catalyst layer; large electroactive surface area; abundant triple-phase boundaries | biocompatible carbon surface; biofilm-supporting porous interface; low platinum-associated toxicity; biofouling-sensitive oxygen pathways | high electrical conductivity; elevated charge-transfer resistance; moderate oxygen reduction activity; high cathodic overpotential,particulate low solubility; high COD load; low inherent toxicity; hydrolysis-limited fermentability
activated sludge,1.612,cnts-coated graphite,0.0004,50,"non-platinized, gas diffusion electrodes",0.0004,50,7.61,25,8,8,0.231,interconnected CNT network; high specific surface area; hierarchical micro-nano roughness; porous graphite scaffold | high specific surface area; nanostructured surface roughness; porous CNT network; enhanced biofilm adhesion | enhanced bacterial adhesion; dense electroactive biofilms; direct extracellular electron transfer; biocompatible nanotube interface | high electrical conductivity; low charge-transfer resistance; enhanced extracellular electron transfer; high electroactive surface area,porous carbon diffusion layer; hydrophobic PTFE-bonded backing; high gas permeability; extended triple-phase interface | hydrophobic gas-diffusion surface; porous carbon catalyst layer; large electroactive surface area; abundant triple-phase boundaries | biocompatible carbon surface; biofilm-supporting porous interface; low platinum-associated toxicity; biofouling-sensitive oxygen pathways | high electrical conductivity; elevated charge-transfer resistance; moderate oxygen reduction activity; high cathodic overpotential,particulate low solubility; high COD load; low inherent toxicity; hydrolysis-limited fermentability
activated sludge,1.612,pani-coated graphite,0.0004,50,"non-platinized, gas diffusion electrodes",0.0004,50,7.61,25,8,8,0.256,conformal PANI coating; roughened graphite surface; porous polymer morphology; enlarged biofilm attachment area | increased surface roughness; improved surface hydrophilicity; amine-rich functional groups; enhanced biofilm adhesion | enhanced bacterial adhesion; dense electroactive biofilm; biocompatible conductive interface; facilitated extracellular electron transfer | high electrical conductivity; low charge transfer resistance; enhanced pseudocapacitive redox activity; fast electron transfer kinetics,porous carbon diffusion layer; hydrophobic PTFE-bonded backing; high gas permeability; extended triple-phase interface | hydrophobic gas-diffusion surface; porous carbon catalyst layer; large electroactive surface area; abundant triple-phase boundaries | biocompatible carbon surface; biofilm-supporting porous interface; low platinum-associated toxicity; biofouling-sensitive oxygen pathways | high electrical conductivity; elevated charge-transfer resistance; moderate oxygen reduction activity; high cathodic overpotential,particulate low solubility; high COD load; low inherent toxicity; hydrolysis-limited fermentability
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60,pt/c-modified carbon paper,0.0025,60,7.2,20,3.333333333,41.66666667,0.55,three-dimensional fibrous network; interconnected macroporous architecture; flame-roughened fiber surfaces; high specific surface area | nanostructured iron oxide surface; enhanced surface hydrophilicity; high specific surface area; strong biofilm adhesion | enhanced microbial adhesion; robust electroactive biofilm; improved extracellular electron transfer; biocompatible iron oxide surface | high electrical conductivity; low charge-transfer resistance; enhanced redox-active oxide sites; improved capacitive behavior,porous carbon fiber scaffold; dispersed Pt/C nanoparticles; high catalyst surface area; open macroporous pathways | high electroactive surface area; dispersed Pt/C nanoparticles; abundant ORR catalytic sites; porous carbon fiber network | enhanced biofilm attachment; improved extracellular electron transfer; biocompatible carbon support; platinum nanoparticle biotoxicity risk | high electrical conductivity; low charge-transfer resistance; enhanced electrocatalytic activity; improved current density,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60,pt/c-modified carbon paper,0.0025,60,7.2,24,3.333333333,41.66666667,0.72,three-dimensional fibrous network; interconnected macroporous architecture; flame-roughened fiber surfaces; high specific surface area | nanostructured iron oxide surface; enhanced surface hydrophilicity; high specific surface area; strong biofilm adhesion | enhanced microbial adhesion; robust electroactive biofilm; improved extracellular electron transfer; biocompatible iron oxide surface | high electrical conductivity; low charge-transfer resistance; enhanced redox-active oxide sites; improved capacitive behavior,porous carbon fiber scaffold; dispersed Pt/C nanoparticles; high catalyst surface area; open macroporous pathways | high electroactive surface area; dispersed Pt/C nanoparticles; abundant ORR catalytic sites; porous carbon fiber network | enhanced biofilm attachment; improved extracellular electron transfer; biocompatible carbon support; platinum nanoparticle biotoxicity risk | high electrical conductivity; low charge-transfer resistance; enhanced electrocatalytic activity; improved current density,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
sodium acetate,0.78,flame-oxidized stainless steel (fo-ss) fiber felt,0.0002,60,pt/c-modified carbon paper,0.0025,60,7.2,30,3.333333333,41.66666667,0.91,three-dimensional fibrous network; interconnected macroporous architecture; flame-roughened fiber surfaces; high specific surface area | nanostructured iron oxide surface; enhanced surface hydrophilicity; high specific surface area; strong biofilm adhesion | enhanced microbial adhesion; robust electroactive biofilm; improved extracellular electron transfer; biocompatible iron oxide surface | high electrical conductivity; low charge-transfer resistance; enhanced redox-active oxide sites; improved capacitive behavior,porous carbon fiber scaffold; dispersed Pt/C nanoparticles; high catalyst surface area; open macroporous pathways | high electroactive surface area; dispersed Pt/C nanoparticles; abundant ORR catalytic sites; porous carbon fiber network | enhanced biofilm attachment; improved extracellular electron transfer; biocompatible carbon support; platinum nanoparticle biotoxicity risk | high electrical conductivity; low charge-transfer resistance; enhanced electrocatalytic activity; improved current density,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
